City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
254,Harper,LR,78.26,light rain,4.375,-7.7169,Screensaver
259,Saint-Pierre,RE,81.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
263,Lubao,PH,90.14,broken clouds,14.9167,120.55,Hacienda Gracia
268,Gizo,SB,84.4,light rain,-8.103,156.8419,Imagination Island
269,Lethem,GY,76.8,overcast clouds,3.3803,-59.7968,Savannah Inn
272,Cockburn Town,TC,81.7,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
273,Ende,ID,86.41,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
274,Marawi,PH,77.65,scattered clouds,7.9986,124.2928,Derogongan Residence
275,Am Timan,TD,75.4,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
276,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
277,Coahuayana,MX,76.06,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
278,Itapirapua,BR,76.82,moderate rain,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
280,Senador Jose Porfirio,BR,76.86,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
282,Muli,MV,82.76,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
283,Cabo San Lucas,MX,75.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
287,Semporna,MY,88.0,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
290,Faanui,PF,79.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
293,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
295,Bonfim,BR,78.12,light rain,3.0833,-59.95,
299,Andros Town,BS,73.36,overcast clouds,24.7,-77.7667,Hanks place
301,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
304,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
305,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
307,Ternate,ID,87.55,light rain,0.8,127.4,Sahid Bela Ternate Hotel
308,Port Blair,IN,83.61,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
309,Poum,NC,76.28,overcast clouds,-20.2333,164.0167,Gîte kajeon
310,Aden,YE,81.99,clear sky,12.7794,45.0367,Sama Emirate Hotel
311,Kongoussi,BF,77.86,overcast clouds,13.3258,-1.5347,Hôtel La Sagesse
316,Bandarbeyla,SO,78.64,broken clouds,9.4942,50.8122,JABIR HOTEL
320,Sheopur,IN,76.06,broken clouds,25.6667,76.7,Shri Ram Dharmshala
322,Ampanihy,MG,81.41,few clouds,-24.7,44.75,Angora Hotel
324,Seka,TH,85.1,scattered clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
325,Bowen,AU,89.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
332,Tantangan,PH,91.49,few clouds,6.615,124.7489,
335,Airai,TL,73.0,overcast clouds,-8.9266,125.4092,Juvinal Martin
