City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Mar Del Plata,AR,2021-11-15 16:40:18,-38.0023,-57.5575,78.82,86,40,25.99
88,Georgetown,MY,2021-11-15 16:44:15,5.4112,100.3354,82.89,88,20,3.0
89,Chuy,UY,2021-11-15 16:44:16,-33.6971,-53.4616,77.72,64,24,11.39
90,Oussouye,SN,2021-11-15 16:44:17,12.485,-16.5469,96.98,33,89,0.09
91,Evensk,RU,2021-11-15 16:44:18,61.95,159.2333,24.26,84,97,12.01
92,Cabo San Lucas,MX,2021-11-15 16:44:19,22.8909,-109.9124,90.05,49,100,1.01
93,Emba,KZ,2021-11-15 16:44:19,48.8264,58.1442,28.9,97,100,3.94
94,Hithadhoo,MV,2021-11-15 16:44:20,-0.6,73.0833,82.54,74,65,12.3
95,Arraial Do Cabo,BR,2021-11-15 16:45:20,-22.9661,-42.0278,78.76,65,40,24.16
96,Katobu,ID,2021-11-15 16:45:21,-4.9408,122.5276,75.31,92,100,3.02
97,Saskylakh,RU,2021-11-15 16:45:22,71.9167,114.0833,-24.81,100,40,5.64
98,Nelson Bay,AU,2021-11-15 16:45:23,-32.7167,152.15,57.99,86,0,13.65
99,Lebu,CL,2021-11-15 16:45:24,-37.6167,-73.65,56.5,50,26,12.88
100,Camopi,GF,2021-11-15 16:45:24,3.1655,-52.3158,91.35,43,82,3.89
101,Upernavik,GL,2021-11-15 16:45:25,72.7868,-56.1549,0.41,72,14,6.64
102,Vaini,TO,2021-11-15 16:45:26,-21.2,-175.2,73.56,88,20,5.75
103,Tuatapere,NZ,2021-11-15 16:43:35,-46.1333,167.6833,42.04,94,99,7.96
104,Cidreira,BR,2021-11-15 16:43:21,-30.1811,-50.2056,73.44,72,76,19.39
105,Kostroma,RU,2021-11-15 16:45:27,57.7708,40.9344,28.11,92,97,5.26
106,Tocopilla,CL,2021-11-15 16:45:19,-22.092,-70.1979,68.74,65,26,10.25
107,Kavaratti,IN,2021-11-15 16:45:28,10.5669,72.642,80.83,80,100,14.72
108,Baruun-Urt,MN,2021-11-15 16:45:29,46.6806,113.2792,24.37,57,14,10.83
109,Arman,RU,2021-11-15 16:43:47,59.7,150.1667,15.01,88,70,10.11
110,Pevek,RU,2021-11-15 16:45:30,69.7008,170.3133,17.33,89,99,7.56
111,Pisco,PE,2021-11-15 16:45:30,-13.7,-76.2167,68.05,77,0,10.36
112,Fort Nelson,CA,2021-11-15 16:43:10,58.8053,-122.7002,11.79,92,90,3.44
113,Ulladulla,AU,2021-11-15 16:45:31,-35.35,150.4667,54.5,73,16,6.24
114,Victoria,HK,2021-11-15 16:43:21,22.2855,114.1577,72.32,79,56,4.0
115,Longyearbyen,SJ,2021-11-15 16:45:33,78.2186,15.6401,17.44,67,20,26.46
116,Talaya,RU,2021-11-15 16:45:34,61.3833,152.75,0.73,100,98,2.55
117,Bluff,NZ,2021-11-15 16:45:34,-46.6,168.3333,48.33,88,98,13.62
118,Constitucion,CL,2021-11-15 16:41:57,-35.3333,-72.4167,60.55,59,12,20.51
119,Vao,NC,2021-11-15 16:45:35,-22.6667,167.4833,75.72,80,4,12.24
120,Lahaina,US,2021-11-15 16:41:18,20.8783,-156.6825,78.8,87,59,6.89
121,Sinnamary,GF,2021-11-15 16:45:36,5.3833,-52.95,81.64,79,52,7.27
122,Puerto Varas,CL,2021-11-15 16:45:37,-41.3195,-72.9854,52.02,71,75,9.22
123,Catamarca,AR,2021-11-15 16:40:46,-28.4696,-65.7852,91.78,41,0,1.99
124,Timmins,CA,2021-11-15 16:45:39,48.4669,-81.3331,30.02,86,90,8.05
125,Vila,PT,2021-11-15 16:45:39,42.0304,-8.1588,51.33,73,10,4.25
126,San Jose,US,2021-11-15 16:45:27,37.3394,-121.895,68.25,80,90,3.44
127,Daura,NG,2021-11-15 16:45:40,11.5538,11.4085,87.71,16,70,7.29
128,Lock Haven,US,2021-11-15 16:45:41,41.137,-77.4469,44.94,68,97,11.27
129,San Patricio,US,2021-11-15 16:45:42,28.017,-97.5169,81.93,53,0,10.54
130,Mokhsogollokh,RU,2021-11-15 16:45:42,61.4681,128.9203,-13.63,100,49,0.47
131,Marsh Harbour,BS,2021-11-15 16:45:43,26.5412,-77.0636,75.29,60,100,13.02
132,Dikson,RU,2021-11-15 16:45:44,73.5069,80.5464,-7.37,94,95,3.15
133,Axim,GH,2021-11-15 16:45:44,4.8699,-2.2405,81.82,78,89,8.63
134,Ponta Do Sol,PT,2021-11-15 16:45:45,32.6667,-17.1,72.72,67,67,4.03
135,Tripoli,LY,2021-11-15 16:42:53,32.8752,13.1875,70.57,35,1,8.05
