City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Chuy,UY,-33.6971,-53.4616,52.86,85,13,0.49,few clouds
128,Kaitangata,NZ,-46.2817,169.8464,62.92,74,92,5.7,overcast clouds
129,Christchurch,NZ,-43.5333,172.6333,67.48,74,75,3.0,broken clouds
130,Tabas,IR,33.5959,56.9244,55.0,22,98,3.8,overcast clouds
131,Atar,MR,20.5169,-13.0499,71.4,29,71,6.58,broken clouds
132,Nanortalik,GL,60.1432,-45.2371,30.27,63,100,1.52,overcast clouds
133,San Pedro,PH,14.35,121.0167,89.35,69,75,5.75,broken clouds
134,Lopik,NL,51.9725,4.9486,49.01,93,85,5.46,overcast clouds
135,Jensen Beach,US,27.2545,-80.2298,64.45,79,1,1.01,clear sky
136,Agua Dulce,MX,18.1333,-94.1333,71.8,68,39,7.94,scattered clouds
137,Broome,US,42.2506,-75.833,43.57,69,0,0.47,clear sky
138,Kamiiso,JP,41.8167,140.65,61.18,63,75,23.02,broken clouds
139,Avarua,CK,-21.2078,-159.775,75.25,69,40,10.36,scattered clouds
140,Hithadhoo,MV,-0.6,73.0833,82.76,70,98,13.56,overcast clouds
141,Ust-Koksa,RU,50.2696,85.6108,20.34,77,29,0.87,scattered clouds
142,Vardo,NO,70.3705,31.1107,25.0,60,99,15.88,light snow
143,Hudson Bay,CA,52.85,-102.3842,36.0,55,20,8.23,few clouds
144,Waynesville,US,35.4887,-82.9887,46.06,51,0,1.01,clear sky
145,Tanout,NE,14.9709,8.8879,76.77,18,13,10.13,few clouds
146,Alyangula,AU,-13.8483,136.4192,91.27,62,75,4.61,broken clouds
147,Dingle,PH,10.9995,122.6711,86.5,74,42,12.15,scattered clouds
148,Cheremukhovo,RU,60.3484,59.9851,27.84,85,33,5.46,scattered clouds
149,Callaguip,PH,18.0714,120.4867,87.82,79,20,6.91,few clouds
150,Carnarvon,AU,-24.8667,113.6333,75.27,50,40,17.27,scattered clouds
151,Rodental,DE,50.2833,11.0667,41.92,96,36,3.24,scattered clouds
152,Sorkjosen,NO,69.8,20.9333,32.74,97,100,10.87,light snow
153,Porto Novo,BJ,6.4965,2.6036,76.82,88,100,3.98,overcast clouds
154,Kirkwall,GB,58.9848,-2.9587,44.96,92,90,3.44,overcast clouds
155,Payo,ID,-3.7508,103.6372,76.19,95,100,1.41,overcast clouds
156,Leningradskiy,RU,69.3833,178.4167,10.62,82,71,10.4,broken clouds
157,Pochutla,MX,15.7432,-96.4661,77.85,82,68,3.62,broken clouds
158,Tautira,PF,-17.7333,-149.15,78.82,77,21,7.31,light rain
159,Kavaratti,IN,10.5669,72.642,81.68,75,99,7.78,overcast clouds
160,Mwinilunga,ZM,-11.7358,24.4293,62.08,63,4,2.46,clear sky
161,Labuhan,ID,-6.8844,112.2051,87.91,59,100,4.54,overcast clouds
162,Lebu,CL,-37.6167,-73.65,52.27,94,69,8.81,broken clouds
163,La Ronge,CA,55.1001,-105.2842,28.65,93,20,3.44,few clouds
164,Nanning,CN,22.8167,108.3167,61.25,43,54,10.33,broken clouds
165,Vanavara,RU,60.34,102.2797,29.93,88,100,12.39,overcast clouds
166,Taoudenni,ML,22.6783,-3.9836,67.14,21,0,14.85,clear sky
167,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,13.8,scattered clouds
168,Cayenne,GF,4.9333,-52.3333,81.09,84,75,4.0,broken clouds
169,Salalah,OM,17.0151,54.0924,78.89,69,0,4.61,clear sky
170,Camopi,GF,3.1655,-52.3158,72.27,100,99,1.86,overcast clouds
171,Ewa Beach,US,21.3156,-158.0072,80.55,66,20,8.01,few clouds
172,Nizwa,OM,22.9333,57.5333,74.46,46,1,0.69,clear sky
173,Vila Velha,BR,-20.3297,-40.2925,70.95,90,90,3.44,overcast clouds
174,Nara,JP,34.6851,135.8049,72.77,46,95,15.46,overcast clouds
175,Bulgan,MN,48.8125,103.5347,26.11,51,36,3.76,scattered clouds
176,Sola,VU,-13.8833,167.55,81.57,73,23,10.4,few clouds
177,La Asuncion,VE,11.0333,-63.8628,78.94,84,8,14.7,clear sky
178,Srandakan,ID,-7.9386,110.2506,84.51,71,100,4.23,heavy intensity rain
179,Yinchuan,CN,38.4681,106.2731,28.98,32,0,3.87,clear sky
180,Orlik,RU,52.5178,99.825,20.26,73,96,3.13,overcast clouds
181,Chokurdakh,RU,70.6333,147.9167,-14.93,94,89,6.46,overcast clouds
182,Bengkulu,ID,-3.8004,102.2655,83.79,66,100,6.58,overcast clouds
183,Kandrian,PG,-6.2167,149.55,84.72,73,88,9.4,light rain
184,Elko,US,41.0002,-115.5012,37.42,66,53,4.0,broken clouds
185,Dongsheng,CN,39.8161,109.9776,23.47,50,0,15.9,clear sky
186,Heilbron,ZA,-27.2812,27.9709,60.89,85,100,16.08,light rain
187,Shuyskoye,RU,59.3736,41.0305,33.06,98,100,6.71,snow
188,Fairhope,US,30.523,-87.9033,56.68,88,1,0.0,clear sky
189,Pacific Grove,US,36.6177,-121.9166,54.59,83,67,1.01,broken clouds
190,Sept-Iles,CA,50.2001,-66.3821,44.06,86,90,3.0,overcast clouds
191,Pemagatsel,BT,27.0319,91.4266,65.43,41,13,3.65,few clouds
192,Acapulco,MX,16.8634,-99.8901,78.12,81,28,2.95,scattered clouds
193,Margate,GB,51.3813,1.3862,43.7,86,92,1.01,overcast clouds
194,Taganak,PH,6.0833,118.3,87.94,73,100,2.21,overcast clouds
195,Dubbo,AU,-32.25,148.6167,80.73,39,40,14.97,scattered clouds
196,North Myrtle Beach,US,33.816,-78.68,50.05,67,1,6.91,clear sky
197,Klaksvik,FO,62.2266,-6.589,45.52,83,99,25.3,overcast clouds
198,Adrar,MR,20.5022,-10.0711,67.96,26,89,6.93,overcast clouds
199,Gilgit,PK,35.9221,74.3087,47.86,37,1,3.62,clear sky
200,Torbay,CA,47.6666,-52.7314,47.26,87,90,13.8,overcast clouds
201,Grindavik,IS,63.8424,-22.4338,41.47,87,90,33.38,light intensity drizzle rain
202,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,13,5.66,few clouds
203,Thinadhoo,MV,0.5333,72.9333,83.23,66,97,15.64,overcast clouds
204,Mar Del Plata,AR,-38.0023,-57.5575,58.08,87,0,1.99,clear sky
205,Falam,MM,22.9167,93.6833,70.72,51,25,3.04,scattered clouds
206,Moche,PE,-8.1711,-79.0092,62.78,82,90,8.05,fog
207,Ilulissat,GL,69.2167,-51.1,12.22,52,5,16.11,clear sky
208,Caranavi,BO,-15.8167,-67.55,63.48,92,100,0.56,overcast clouds
209,Havoysund,NO,70.9963,24.6622,32.23,78,100,25.81,light snow
210,Karratha,AU,-20.7377,116.8463,81.7,42,14,19.84,few clouds
211,Kodiak,US,57.79,-152.4072,32.07,88,97,13.62,overcast clouds
212,Provideniya,RU,64.3833,-173.3,17.71,79,90,6.71,overcast clouds
213,Channel-Port Aux Basques,CA,47.5702,-59.1367,46.76,80,17,9.08,few clouds
214,Polonnaruwa,LK,7.9333,81.0,82.13,71,98,12.62,overcast clouds
215,Constantine,DZ,36.365,6.6147,47.61,87,75,8.05,broken clouds
216,Akdagmadeni,TR,39.6603,35.8836,43.92,75,86,1.99,overcast clouds
217,Cognac,FR,45.5,-0.25,43.57,100,0,9.22,clear sky
218,Zhigansk,RU,66.7697,123.3711,7.45,94,100,27.02,light snow
219,Songkhla,TH,6.8333,100.6667,91.45,62,85,5.82,overcast clouds
220,Omboue,GA,-1.5746,9.2618,75.97,92,100,4.54,moderate rain
221,Yaroslavskaya,RU,44.6106,40.4642,50.0,88,97,5.55,overcast clouds
222,Broken Hill,AU,-31.95,141.4333,71.31,35,100,8.05,overcast clouds
223,Luziania,BR,-16.2525,-47.9503,69.49,62,100,2.06,overcast clouds
224,Zyryanka,RU,65.75,150.85,3.15,95,99,6.89,overcast clouds
225,Anadyr,RU,64.75,177.4833,2.71,98,79,2.35,broken clouds
226,Tolaga Bay,NZ,-38.3667,178.3,65.07,77,29,5.28,scattered clouds
227,Racine,US,42.7495,-88.0751,56.89,67,60,5.99,broken clouds
228,Kibaya,TZ,-5.3,36.5667,59.76,87,100,3.8,overcast clouds
229,Ambagarh Chauki,IN,20.7833,80.7167,72.99,47,59,8.41,broken clouds
230,Kelvington,CA,52.1667,-103.5343,31.66,49,0,9.51,clear sky
231,Bonnyville,CA,54.2668,-110.735,25.43,61,11,6.53,few clouds
232,Careiro Da Varzea,BR,-3.2003,-59.8119,81.21,90,70,0.54,light rain
233,Maceio,BR,-9.6658,-35.7353,80.04,94,40,5.75,scattered clouds
234,Buala,SB,-8.145,159.5921,86.27,58,80,7.09,broken clouds
235,Winnemucca,US,40.973,-117.7357,30.25,74,1,0.0,clear sky
236,Codrington,AU,-38.2667,141.9667,59.67,58,84,10.78,broken clouds
237,Sinop,TR,41.7711,34.8709,57.65,63,97,7.27,overcast clouds
238,Victor Harbor,AU,-35.5667,138.6167,68.79,59,37,1.99,scattered clouds
239,Jagalur,IN,14.5333,76.35,74.35,76,97,10.54,overcast clouds
240,Sioux Lookout,CA,50.1001,-91.917,44.98,87,75,4.61,broken clouds
241,Boende,CD,-0.2167,20.8667,70.83,97,98,1.39,overcast clouds
242,Saskylakh,RU,71.9167,114.0833,15.13,92,100,8.81,overcast clouds
243,Keningau,MY,5.3378,116.1602,84.65,56,49,1.28,scattered clouds
244,San Ignacio,BZ,17.1561,-89.0714,66.34,94,0,0.0,clear sky
245,Mataram,ID,-8.5833,116.1167,85.77,71,100,4.29,overcast clouds
246,Harmanli,BG,41.9333,25.9,54.5,83,11,1.12,few clouds
247,Ostrovnoy,RU,68.0531,39.5131,22.21,91,99,11.03,light snow
248,Sidi Ali,DZ,36.0998,0.4206,54.1,66,82,5.39,broken clouds
249,Ulladulla,AU,-35.35,150.4667,68.88,86,84,9.46,broken clouds
250,Padang,ID,-0.9492,100.3543,82.45,70,98,6.4,overcast clouds
251,Fenoarivo,MG,-18.933,47.4354,68.07,73,40,9.22,scattered clouds
252,Clovis,US,36.8252,-119.7029,59.86,66,40,5.75,scattered clouds
253,Salym,RU,60.0625,71.4789,32.47,98,100,8.61,snow
254,Harper,LR,4.375,-7.7169,78.26,88,95,5.66,light rain
255,Necochea,AR,-38.5473,-58.7368,53.04,88,58,12.73,broken clouds
256,Beaverlodge,CA,55.2166,-119.4361,22.35,66,33,4.88,scattered clouds
257,Tasiilaq,GL,65.6145,-37.6368,26.76,74,100,5.41,overcast clouds
258,Pisco,PE,-13.7,-76.2167,64.45,82,63,5.75,broken clouds
259,Saint-Pierre,RE,-21.3393,55.4781,81.57,66,0,16.11,clear sky
260,Kruisfontein,ZA,-34.0033,24.7314,56.88,89,100,3.44,overcast clouds
261,San Quintin,MX,30.4833,-115.95,61.48,86,14,4.56,few clouds
262,Nikolskoye,RU,59.7035,30.7861,37.87,97,100,10.27,moderate rain
263,Lubao,PH,14.9167,120.55,90.14,60,59,12.06,broken clouds
264,Hami,CN,42.8,93.45,31.73,33,2,6.71,clear sky
265,Morgantown,US,39.6295,-79.9559,44.76,70,1,0.0,clear sky
266,Colares,PT,38.7992,-9.4469,54.59,63,44,5.01,scattered clouds
267,Dalvik,IS,65.9702,-18.5286,31.93,95,100,6.55,snow
268,Gizo,SB,-8.103,156.8419,84.4,69,63,5.61,light rain
269,Lethem,GY,3.3803,-59.7968,76.8,86,98,9.53,overcast clouds
270,Lompoc,US,34.6391,-120.4579,61.21,66,1,5.75,clear sky
271,Jiuquan,CN,39.7432,98.5174,32.11,19,4,1.79,clear sky
272,Cockburn Town,TC,21.4612,-71.1419,81.7,73,86,5.7,overcast clouds
273,Ende,ID,-8.8432,121.6623,86.41,73,89,3.58,overcast clouds
274,Marawi,PH,7.9986,124.2928,77.65,66,37,7.18,scattered clouds
275,Am Timan,TD,11.0297,20.2827,75.4,28,81,5.32,broken clouds
276,Hambantota,LK,6.1241,81.1185,79.14,94,20,10.36,few clouds
277,Coahuayana,MX,18.7333,-103.6833,76.06,88,100,3.04,overcast clouds
278,Itapirapua,BR,-15.8233,-50.6133,76.82,78,95,2.28,moderate rain
279,Lavrentiya,RU,65.5833,-171.0,10.42,85,7,7.74,clear sky
280,Senador Jose Porfirio,BR,-2.5908,-51.9542,76.86,81,100,1.99,overcast clouds
281,Kutum,SD,14.2,24.6667,66.34,29,5,6.15,clear sky
282,Muli,MV,2.9167,73.5667,82.76,74,100,16.26,overcast clouds
283,Cabo San Lucas,MX,22.8909,-109.9124,75.61,66,39,8.84,scattered clouds
284,Rognan,NO,67.0953,15.3878,28.54,81,3,5.59,clear sky
285,Sobolevo,RU,54.4299,31.8996,41.61,87,100,15.17,light rain
286,Katsuura,JP,35.1333,140.3,68.14,55,60,16.04,broken clouds
287,Semporna,MY,4.4818,118.6112,88.0,70,77,3.49,broken clouds
288,Ubinskoye,RU,55.3068,79.6802,29.66,66,100,19.01,overcast clouds
289,Matagami,CA,49.7502,-77.6328,44.71,100,90,3.44,overcast clouds
290,Faanui,PF,-16.4833,-151.75,79.36,75,23,10.51,light rain
291,Zacapoaxtla,MX,19.8833,-97.5833,54.1,96,100,1.03,overcast clouds
292,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
293,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,14.97,few clouds
294,Inongo,CD,-1.95,18.2667,69.96,92,92,2.06,overcast clouds
295,Bonfim,BR,3.0833,-59.95,78.12,81,100,6.55,light rain
296,Stephenville,US,32.2207,-98.2023,57.99,78,1,5.75,clear sky
297,Goderich,CA,43.7501,-81.7165,48.56,81,60,4.61,broken clouds
298,Marzuq,YE,14.4,46.4667,69.17,30,0,1.39,clear sky
299,Andros Town,BS,24.7,-77.7667,73.36,71,100,14.7,overcast clouds
300,Half Moon Bay,US,37.4636,-122.4286,54.91,79,1,1.01,clear sky
301,Miri,MY,4.4148,114.0089,86.14,74,40,6.91,scattered clouds
302,Mnogovershinnyy,RU,53.9353,139.9242,23.38,68,88,16.89,overcast clouds
303,Krasnoye,UA,49.9145,24.6134,43.95,82,100,12.35,overcast clouds
304,Port Hedland,AU,-20.3167,118.5667,82.45,54,42,21.85,scattered clouds
305,Naze,JP,28.3667,129.4833,76.12,64,100,4.68,overcast clouds
306,Borazjan,IR,29.2666,51.2159,70.93,46,0,4.61,clear sky
307,Ternate,ID,0.8,127.4,87.55,64,76,2.24,light rain
308,Port Blair,IN,11.6667,92.75,83.61,78,100,11.45,overcast clouds
309,Poum,NC,-20.2333,164.0167,76.28,78,93,15.95,overcast clouds
310,Aden,YE,12.7794,45.0367,81.99,63,9,14.99,clear sky
